id,Location,CommAddress,Address,City,Zip code,State,Dates,Hours,latitude,longitude
17,Los Gatos Town Hall (Outside Drop Box),"110 East Main Street, Los Gatos, CA 95030",110 East Main Street,Los Gatos,95030,CA,10/7/24-11/05/2024,24 hours,37.221204,-121.979218
18,Milpitas City Hall (Outside Drop Box),"455 East Calaveras Boulevard, Milpitas, CA 95035",455 East Calaveras Boulevard,Milpitas,95035,CA,10/7/24-11/05/2024,24 hours,37.4322859,-121.8985947
19,Milpitas Library (Outside Drop Box),"160 North Main Street, Milpitas, CA 95035",160 North Main Street,Milpitas,95035,CA,10/7/24-11/05/2024,24 hours,37.4324266,-121.9070434
20,Milpitas Unified School District,"1331 East Calaveras Boulevard, Milpitas, CA 95035",1331 East Calaveras Boulevard,Milpitas,95035,CA,10/7/24-11/05/2024,24 hours,37.43627905,-121.8831143
21,Monte Sereno City Hall (Outside Drop Box),"18041 Saratoga-Los Gatos Road, Monte Sereno, CA 95030",18041 Saratoga-Los Gatos Road,Monte Sereno,95030,CA,10/7/24-11/05/2024,24 hours,37.2323714,-121.9858952
22,Morgan Hill Unified School District (Outside Drop Box),"15600 Concord Circle, Morgan Hill, CA 95037",15600 Concord Circle,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours,37.1113884,-121.6342745
23,Morgan Hill City Hall  (Outside Drop Box),"17575 Peak Avenue, Morgan Hill, CA 95037",17575 Peak Avenue,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours,37.12535035,-121.6623575
24,Morgan Hill Library (Outside Drop Box),"660 West Main Avenue, Morgan Hill, CA 95037",660 West Main Avenue,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours,37.1251603,-121.6636353
25,Nordstrom Elementary (Outside Drop Box),"1425 East Dunne Avenue, Morgan Hill, CA 95037",1425 East Dunne Avenue,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours,37.13502935,-121.6253739
26,VTA Park and Ride - Morgan hill (Outside Drop Box),"17300 Depot Street, Morgan Hill, CA 95037",17300 Depot Street,Morgan Hill,95037,CA,10/7/24-11/05/2024,24 hours,37.13014501,-121.651602
27,Mountain View City Hall  (Outside Drop Box),"500 Castro Street, Mountain View, CA 94041",500 Castro Street,Mountain View,94041,CA,10/7/24-11/05/2024,24 hours,37.389985,-122.0815
28,Mountain View Public Library (Outside Drop Box),"585 Franklin Street, Mountain View, CA 94041",585 Franklin Street,Mountain View,94041,CA,10/7/24-11/05/2024,24 hours,37.3904941,-122.0830273
29,Mountain View Public Works (Sand Bag Entrance - Outside Drop Box),"234 North Whisman Road, Mountain View, CA 94043",234 North Whisman Road,Mountain View,94043,CA,10/7/24-11/05/2024,24 hours,37.39535788,-122.0603666
30,Palo Alto City Hall  (Outside Drop Box),"250 Hamilton Avenue, Palo Alto, CA 94301",250 Hamilton Avenue,Palo Alto,94301,CA,10/7/24-11/05/2024,24 hours,37.44439355,-122.1600445
31,Palo Alto High School (Outside Drop Box),"50 Embarcadero Road, Palo Alto, CA 94301",50 Embarcadero Road,Palo Alto,94301,CA,10/7/24-11/05/2024,24 hours,37.4358242,-122.1553327
32,Mitchell Park Library (Outside Drop box),"3700 Middlefield Road, Palo Alto, CA 94303",3700 Middlefield Road,Palo Alto,94303,CA,10/7/24-11/05/2024,24 hours,37.4221606,-122.1128177
33,Rinconada Branch Library (Outside Drop Box),"1213 Newell Road, Palo Alto, CA 94303",1213 Newell Road,Palo Alto,94303,CA,10/7/24-11/05/2024,24 hours,37.4449757,-122.1390728
34,Moreland School District (Outside Drop Box),"4711 Campbell Avenue, San Jose , CA 95130",4711 Campbell Avenue,San Jose,95130,CA,10/7/24-11/05/2024,24 hours,37.288001,-121.9866242
35,Almaden Branch Library (Outside Drop Box),"6445 Camden Avenue, San Jose, CA 95120",6445 Camden Avenue,San Jose,95120,CA,10/7/24-11/05/2024,24 hours,37.2213583,-121.8697466
36,Santa Clara County Civic Center – West Wing (Outside Drop Box),"70 West Hedding Street, San Jose, CA 95110",70 West Hedding Street,San Jose,95110,CA,10/7/24-11/05/2024,24 hours,37.35231085,-121.9039269
37,CalTrain San Jose Diridon Station (Outside Drop Box),"65 Cahill Street, San Jose, CA 95110",65 Cahill Street,San Jose,95110,CA,10/7/24-11/05/2024,24 hours,37.3295237,-121.9026052
38,Captain Jason M Dahl Elementary School (Outside Drop Box),"3200 Water Street, San Jose, CA 95111",3200 Water Street,San Jose,95111,CA,10/7/24-11/05/2024,24 hours,37.28882055,-121.8398478
39,County of Santa Clara Recorders Office (Outside Drop Box),"110 W. Tasman Drive, San Jose, CA 95134",110 W. Tasman Drive,San Jose,95134,CA,10/7/24-11/05/2024,24 hours,37.40680575,-121.951191
40,Edenvale Branch Library (Outside Drop Box),"101 East Branham Lane, San Jose, CA 95111",101 East Branham Lane,San Jose,95111,CA,10/7/24-11/05/2024,24 hours,37.2677033,-121.8210821
41,Edenvale Community Center (Outside Drop Box),"330 East Branham Lane, San Jose, CA 95111",330 East Branham Lane,San Jose,95111,CA,10/7/24-11/05/2024,24 hours,37.2688829,-121.8126871
42,Eastridge Mall (Entrance C) (Outside Drop Box),"2200 Eastridge Loop,, San Jose, CA 95122","2200 Eastridge Loop,",San Jose,95122,CA,10/7/24-11/05/2024,24 hours,37.325114,-121.8152203
43,Seven Trees Branch Library (Outside Drop Box),"3590 Cas Drive, San Jose, CA 95111",3590 Cas Drive,San Jose,95111,CA,10/7/24-11/05/2024,24 hours,37.2849427,-121.833258
44,Tully Community Branch Library (Outside Drop Box),"880 Tully Road, San Jose, CA 95111",880 Tully Road,San Jose,95111,CA,10/7/24-11/05/2024,24 hours,37.3113892,-121.8408783
45,Franklin-Mckinley School District (Outside Drop Box),"645 Wool Creek Drive, San Jose, CA 95112",645 Wool Creek Drive,San Jose,95112,CA,10/7/24-11/05/2024,24 hours,37.31360366,-121.851293
46,Joyce Ellington Branch Library (Outside Drop Box),"491 East Empire Street, San Jose, CA 95112",491 East Empire Street,San Jose,95112,CA,10/7/24-11/05/2024,24 hours,37.34980125,-121.8870197
47,Martin Luther King Jr. Library (Outside Drop box),"150 East San Fernando Street, San Jose, CA 95112",150 East San Fernando Street,San Jose,95112,CA,10/7/24-11/05/2024,24 hours,37.3355074,-121.8850772
48,San Jose City Hall  (@ E. Santa Clara St. & S. 4th St.),"200 East Santa Clara Street, San Jose, CA 95113",200 East Santa Clara Street,San Jose,95113,CA,10/7/24-11/05/2024,24 hours,37.3380339,-121.8853233
49,SAP Center at San Jose (West Santa Clara St and Barack Obama Blvd),"525 West Santa Clara Street, San Jose, CA 95113",525 West Santa Clara Street,San Jose,95113,CA,10/7/24-11/05/2024,24 hours,37.33286035,-121.9012247
50,SAP Center at San Jose (West St John and Montgomery),"525 West Santa Clara Street, San Jose, CA 95113",525 West Santa Clara Street,San Jose,95113,CA,10/7/24-11/05/2024,24 hours,37.33286035,-121.9012247
51,East San Jose Carnegie Library (Outside Drop Box),"1102 East Santa Clara Street, San Jose, CA 95116",1102 East Santa Clara Street,San Jose,95116,CA,10/7/24-11/05/2024,24 hours,37.3464402,-121.8682181
52,Mayfair Community Center (Outside Drop Box),"2039 Kammerer Avenue, San Jose, CA 95116",2039 Kammerer Avenue,San Jose,95116,CA,10/7/24-11/05/2024,24 hours,37.35164885,-121.8440288
53,West Valley Branch Library (Outside Drop Box),"1243 San Tomas Aquino Road, San Jose, CA 95117",1243 San Tomas Aquino Road,San Jose,95117,CA,10/7/24-11/05/2024,24 hours,37.3023728,-121.979341
54,Vineland Branch Library (Outside Drop Box),"1450 Blossom Hill Road, San Jose, CA 95118",1450 Blossom Hill Road,San Jose,95118,CA,10/7/24-11/05/2024,24 hours,37.24026995,-121.8921881
55,San Andreas Regional Center (Outside Drop Box),"6203 San Ignacio Avenue, San Jose, CA 95119",6203 San Ignacio Avenue,San Jose,95119,CA,10/7/24-11/05/2024,24 hours,37.2364038,-121.7780741
56,Almaden Neighborhood Church (Outside Drop Box),"19550 McKean Road, San Jose, CA 95120",19550 McKean Road,San Jose,95120,CA,10/7/24-11/05/2024,24 hours,37.19914525,-121.8330821
57,Evergreen Branch Library (Outside Drop Box),"2635 Aborn Road, San Jose, CA 95121",2635 Aborn Road,San Jose,95121,CA,10/7/24-11/05/2024,24 hours,37.31313841,-121.7966093
58,Hillview Branch Library (Outside Drop Box),"1600 Hopkins Drive, San Jose, CA 95122",1600 Hopkins Drive,San Jose,95122,CA,10/7/24-11/05/2024,24 hours,37.33777705,-121.8311421
59,South Valley YMCA (Outside Drop Box),"5632 Santa Teresa Boulevard, San Jose, CA 95123",5632 Santa Teresa Boulevard,San Jose,95123,CA,10/7/24-11/05/2024,24 hours,37.2448945,-121.8595539
60,Southside Community Center (Outside Drop Box),"5585 Cottle Road, San Jose, CA 95123",5585 Cottle Road,San Jose,95123,CA,10/7/24-11/05/2024,24 hours,37.25238845,-121.8049082
61,Cambrian School District (Outside Drop Box),"4115 Jacksol Drive, San Jose, CA 95124",4115 Jacksol Drive,San Jose,95124,CA,10/7/24-11/05/2024,24 hours,37.25748685,-121.9412933
62,Campbell Union High School District (Outside Drop Box),"3235 Union Avenue, San Jose, CA 95124",3235 Union Avenue,San Jose,95124,CA,10/7/24-11/05/2024,24 hours,37.2650079,-121.9332775
63,Union Elementary School District (Outside Drop Box),"5175 Union Avenue, San Jose, CA 95124",5175 Union Avenue,San Jose,95124,CA,10/7/24-11/05/2024,24 hours,37.24391065,-121.9317546
64,Hammer Montessori at Galarza Elementary School (Outside Drop Box),"1610 Bird Avenue, San Jose, CA 95125",1610 Bird Avenue,San Jose,95125,CA,10/7/24-11/05/2024,24 hours,37.3025539,-121.8854004
65,Willow Glen Branch Library (Outside Drop Box),"1157 Minnesota Avenue, San Jose, CA 95125",1157 Minnesota Avenue,San Jose,95125,CA,10/7/24-11/05/2024,24 hours,37.30299955,-121.9000848
66,Rose Garden Branch Library (Outside Drop box),"1580 Naglee Avenue, San Jose, CA 95126",1580 Naglee Avenue,San Jose,95126,CA,10/7/24-11/05/2024,24 hours,37.3318621,-121.9262338
67,Dr Roberto Cruz Library (Outside Drop Box),"3090 Alum Rock Avenue, San Jose, CA 95127",3090 Alum Rock Avenue,San Jose,95127,CA,10/7/24-11/05/2024,24 hours,37.36529635,-121.828055
68,Alum Rock Union School District (Outside Drop Box),"2930 Gay Avenue, San Jose, CA 95127",2930 Gay Avenue,San Jose,95127,CA,10/7/24-11/05/2024,24 hours,37.36927035,-121.8333962
69,San Jose City College (@ Student Center),"2100 Moorpark Avenue, San Jose, CA 95128",2100 Moorpark Avenue,San Jose,95128,CA,10/7/24-11/05/2024,24 hours,37.3150133,-121.9272832
70,Valley Medical Center Valley Specialty Center (Outside Drop Box),"751 South Bascom Avenue, San Jose, CA 95128",751 South Bascom Avenue,San Jose,95128,CA,10/7/24-11/05/2024,24 hours,37.3228097,-121.9318269
71,Forest Hill Elementary School (Outside Drop Box),"4450 McCoy Avenue, San Jose, CA 95130",4450 McCoy Avenue,San Jose,95130,CA,10/7/24-11/05/2024,24 hours,37.27638348,-121.9807563
72,Orchard School District (Outside Drop Box),"921 Fox Lane, San Jose, CA 95131",921 Fox Lane,San Jose,95131,CA,10/7/24-11/05/2024,24 hours,37.38927215,-121.9021004
73,Berryessa Branch Library (Outside Drop Box),"3355 Noble Avenue, San Jose, CA 95132",3355 Noble Avenue,San Jose,95132,CA,10/7/24-11/05/2024,24 hours,37.3940641,-121.8409587
74,Educational Branch Library (Outside Drop Box),"1772 Educational Drive, San Jose, CA 95133",1772 Educational Drive,San Jose,95133,CA,10/7/24-11/05/2024,24 hours,37.3655983,-121.8577282
75,Evergreen Valley College (@ Staff Parking Lot 7),"3095 Yerba Buena Road, San Jose, CA 95135",3095 Yerba Buena Road,San Jose,95135,CA,10/7/24-11/05/2024,24 hours,37.3011208,-121.7637335
76,Village Square Branch Library (Outside Drop Box),"4001 Evergreen Village Square, San Jose, CA 95135",4001 Evergreen Village Square,San Jose,95135,CA,10/7/24-11/05/2024,24 hours,37.31341825,-121.7744198
77,Pearl Avenue Branch Library (Outside Drop Box),"4270 Pearl Avenue, San Jose, CA 95136",4270 Pearl Avenue,San Jose,95136,CA,10/7/24-11/05/2024,24 hours,37.26779945,-121.8664471
78,Evergreen Valley High School (Outside Drop Box),"3300 Quimby Road, San Jose, CA 95148",3300 Quimby Road,San Jose,95148,CA,10/7/24-11/05/2024,24 hours,37.322793,-121.7790541
79,Mount Pleasant School District (Outside Drop Box),"3434 Marten Avenue, San Jose, CA 95148",3434 Marten Avenue,San Jose,95148,CA,10/7/24-11/05/2024,24 hours,37.348348,-121.8006807
80,Mission Branch Library (Outside Drop Box),"1098 Lexington St, Santa Clara, CA 95050",1098 Lexington St,Santa Clara,95050,CA,10/7/24-11/05/2024,24 hours,37.3473397,-121.9447968
81,Santa Clara City Hall  (Outside Drop Box),"1500 Warburton Avenue, Santa Clara, CA 95050",1500 Warburton Avenue,Santa Clara,95050,CA,10/7/24-11/05/2024,24 hours,37.3551518,-121.954967
82,Briarwood Elementary School (Outside Drop Box),"1930 Townsend Avenue, Santa Clara, CA 95051",1930 Townsend Avenue,Santa Clara,95051,CA,10/7/24-11/05/2024,24 hours,37.35829675,-121.9880981
83,Central Park Branch Library (Outside Drop Box),"2635 Homestead Road, Santa Clara, CA 95051",2635 Homestead Road,Santa Clara,95051,CA,10/7/24-11/05/2024,24 hours,37.3403821,-121.9736835
84,Kona Kai Swim Club (Outside Drop Box),"680 Hubbard Avenue, Santa Clara, CA 95051",680 Hubbard Avenue,Santa Clara,95051,CA,10/7/24-11/05/2024,24 hours,37.3347716,-122.0012618
85,Mission College (Student Drop Off),"3000 Mission College Boulevard, Santa Clara, CA 95054",3000 Mission College Boulevard,Santa Clara,95054,CA,10/7/24-11/05/2024,24 hours,37.39402035,-121.9849647
86,Northside Branch Library (Outside Drop Box),"695 Moreland Way, Santa Clara, CA 95054",695 Moreland Way,Santa Clara,95054,CA,10/7/24-11/05/2024,24 hours,37.3957356,-121.9468767
87,Saratoga City Hall (Outside Drop Box),"13777 Fruitvale Avenue, Saratoga, CA 95070",13777 Fruitvale Avenue,Saratoga,95070,CA,10/7/24-11/05/2024,24 hours,37.26881201,-122.0141523
88,Saratoga Library (Outside Drop Box),"13650 Saratoga Avenue, Saratoga, CA 95070",13650 Saratoga Avenue,Saratoga,95070,CA,10/7/24-11/05/2024,24 hours,37.2700537,-122.0152172
89,West Valley College (@ Fox Center ),"14000 Fruitvale Avenue, Saratoga, CA 95070",14000 Fruitvale Avenue,Saratoga,95070,CA,10/7/24-11/05/2024,24 hours,37.266707,-122.013777
90,Sunnyvale Community Services (Outside Drop Box),"1160 Kern Avenue, Sunnyvale, CA 94085",1160 Kern Avenue,Sunnyvale,94085,CA,10/7/24-11/05/2024,24 hours,37.3823513,-121.9978188
91,Sunnyvale City Hall (Outside Drop Box),"456 West Olive Avenue, Sunnyvale, CA 94086",456 West Olive Avenue,Sunnyvale,94086,CA,10/7/24-11/05/2024,24 hours,37.37100075,-122.0374338
92,Sunnyvale Library (Outside Drop Box),"665 West Olive Avenue, Sunnyvale, CA 94086",665 West Olive Avenue,Sunnyvale,94086,CA,10/7/24-11/05/2024,24 hours,37.3719447,-122.0391018
93,Valley Medical Center Sunnyvale (Outside Drop Box),"660 South Fair Oaks Avenue, Sunnyvale, CA 94086",660 South Fair Oaks Avenue,Sunnyvale,94086,CA,10/7/24-11/05/2024,24 hours,37.3648776,-122.0234805
94,Sunnyvale Community Center (Outside Drop Box),"550 East Remington Drive, Sunnyvale, CA 94087",550 East Remington Drive,Sunnyvale,94087,CA,10/7/24-11/05/2024,24 hours,37.35798745,-122.0259106
95,Sunnyvale Presbyterian Church (Outside Drop Box),"728 West Fremont Avenue, Sunnyvale, CA 94087",728 West Fremont Avenue,Sunnyvale,94087,CA,10/7/24-11/05/2024,24 hours,37.3507057,-122.0424126
96,Grocery Outlet Bargain Market (Outside Drop Box),"1180 North Fair Oaks Avenue, Sunnyvale, CA 94089",1180 North Fair Oaks Avenue,Sunnyvale,94089,CA,10/7/24-11/05/2024,24 hours,37.4032955,-122.0099361
